train_01_279,"Social activist Medha Patkar and Pravash Ghosh , State secretary of the Socialist Unity Centre of India — a new Trinamool ally — addressed the rally .",0,1,3,train_01,,,,,,,,,,,,,,,,,,,,,0
train_08_118,"A police officer patrolling the area told this newspaper that there was considerable confusion in the police force , because the cops did n't know whom to check at a time when the ministers were being targetted by their own partymen .",1,1,2,train_08,,,,,,,,,,,,,,,,,,,,,0
train_09_A_118,Police justify action against students 16th December 2009 03:25 AM HYDERABAD : Police justified their action against students participating in the agitation programmes at Sri Krishnadevaraya University in Anantapur today even as various political parties and organisations launched protests against the unfortunate incident .,0,1,3,train_09,,,,,,,,,,,,,,,,,,,,,0
train_03_278,The Congress leader was kidnapped and beheaded by Lashkar terrorists on the night of May 16 .,0,0.666666667,3,train_03,,,,,,,,,,,,,,,,,,,,,0
train_09_B_119,The Narayanpur incident also looked like capable of sparking a row between the Centre and Chhattisgarh .,0,1,2,train_09,,,,,,,,,,,,,,,,,,,,,0
train_01_4,`` It the protest was something which happened outside the labour structures .,0,1,3,train_01,,,,,,,,,,,,,,,,,,,,,0
train_04_46,Blatant efforts to wage a proxy war 15th April 2010 12:33 AM The Dantewada massacre took the lives of 76 CRPF jawans and caused a huge setback to the Union home ministry ’ s self-proclaimed ‘ war on tribal terror ’ .,0,0.666666667,3,train_04,,,,,,,,,,,,,,,,,,,,,0
train_04_244,"As part of the strike , the medicos who are not getting their stipend for the past four months , have also boycotted emergency services .",1,0.666666667,3,train_04,,,,,,,,,,,,,,,,,,,,,0
train_06_114,"We came under heavy fire thereafter as a result of which three jawans of CRPF and one from Jammu and Kashmir Police got injured but they are all out of danger , "" Ahmed said .",1,1,2,train_06,,,,,,,,,,,,,,,,,,,,,0
train_01_232,"Besides the bank and the insurance company employees , medical and sales representatives , members of the UTF , anganwadi , municipal and construction workers , hamalis , including the RTC porters , participated in the rally taken out under the banner of the leftist unions protesting against the ‘ anti-employee ’ and ‘ anti-national ’ policies of the Congress-led UPA government .",0,0.666666667,3,train_01,,,,,,,,,,,,,,,,,,,,,0
train_09_B_29,ANANTNAG : Police today arrested two top militants and claimed to have solved the bomb blast at the high-security MLA hostel in Srinagar last year .,1,0.5,2,train_09,,,,,,,,,,,,,,,,,,,,,0
train_07_190,""" This has led the department to conclude that I prompted the idea of an agitation among the inmates after the two officials were transferred , ' ' he said .",1,1,2,train_07,,,,,,,,,,,,,,,,,,,,,0
train_03_212,"Many demonstrators carried messages of dissent on black and white T-shirts emblazoned with slogans such as : “ Never back down ” , “ fight for Hong Kong , ” and , more poetically , “ being born in uncertain times carries certain responsibilities ” .",0,1,3,train_03,,,,,,,,,,,,,,,,,,,,,0
train_02_215,"An intelligence source says the killing of seven policemen in Karnatakas Pavagada  the Kudremukh forest region in the state is Naxalite country  was courtesy a party from Anantapur , Andhra Pradesh .",0,0.666666667,3,train_02,,,,,,,,,,,,,,,,,,,,,0
train_08_26,They were also protesting about the government 's refusal to make available finances to improve the infrastructure and services of the public rail system .,1,1,2,train_08,,,,,,,,,,,,,,,,,,,,,0
train_08_207,The police have denied allegations that they were targeting leaders of the student protests in order to thwart the ' # FeesMustFall ' campaign after the arrest of former Witwatersrand University Student Representative Council president Mcebo Dlamini .,1,0.5,2,train_08,,,,,,,,,,,,,,,,,,,,,0
train_07_20,In a memorandum handed to an official they demanded an explanation from health MEC Sibongiseni Dhlomo .,0,0.5,2,train_07,,,,,,,,,,,,,,,,,,,,,0
